"R0000100","R0536402","S7514300","S8646900","S8647300","S8647500","S8647800"
1,1981,4,-4,-4,-4,-4
2,1982,-5,-5,-5,-5,-5
3,1983,-5,-5,-5,-5,-5
4,1981,2,-4,-4,-4,-4
5,1982,2,-4,-4,-4,-4
6,1982,2,-4,-4,-4,-4
7,1983,0,-4,-4,-4,-4
8,1981,4,-4,-4,-4,-4
9,1982,4,-4,-4,-4,-4
10,1984,4,-4,-4,-4,-4
11,1982,2,1,1,2,-2
12,1981,1,1,1,4,1
13,1984,0,-4,-4,-4,-4
14,1980,-5,-5,-5,-5,-5
15,1983,2,-4,-4,-4,-4
16,1982,2,-4,-4,-4,-4
17,1981,-5,-5,-5,-5,-5
18,1982,0,-4,-4,-4,-4
19,1984,-3,-4,-4,-4,-4
20,1980,-5,-5,-5,-5,-5
21,1982,1,-4,-4,-4,-4
22,1982,-5,-5,-5,-5,-5
23,1983,2,1,1,1,1
24,1984,0,-4,-4,-4,-4
25,1983,1,-4,-4,-4,-4
26,1980,0,1,1,-2,1
27,1981,0,-4,-4,-4,-4
28,1983,2,-4,-4,-4,-4
29,1983,-5,-5,-5,-5,-5
30,1981,-5,-5,-5,-5,-5
31,1982,4,-4,-4,-4,-4
32,1981,-5,-5,-5,-5,-5
33,1980,4,-4,-4,-4,-4
34,1984,3,-4,-4,-4,-4
35,1983,2,-4,-4,-4,-4
36,1980,2,1,1,1,1
37,1980,4,-4,-4,-4,-4
38,1981,4,-4,-4,-4,-4
39,1980,4,-4,-4,-4,-4
40,1984,-5,-5,-5,-5,-5
41,1983,4,-4,-4,-4,-4
42,1983,2,-4,-4,-4,-4
43,1981,1,-4,-4,-4,-4
44,1981,2,-4,-4,-4,-4
45,1984,0,-4,-4,-4,-4
46,1984,-5,-5,-5,-5,-5
47,1982,2,-4,-4,-4,-4
48,1983,2,-4,-4,-4,-4
49,1982,2,3,3,4,1
50,1983,1,-4,-4,-4,-4
51,1980,2,-4,-4,-4,-4
52,1983,2,-4,-4,-4,-4
53,1984,2,2,1,2,1
54,1984,1,-4,-4,-4,-4
55,1981,3,-4,-4,-4,-4
56,1982,4,2,2,1,1
57,1982,2,-4,-4,-4,-4
58,1983,2,-4,-4,-4,-4
59,1981,2,-4,-4,-4,-4
60,1984,2,2,3,2,1
61,1983,3,-4,-4,-4,-4
62,1980,4,-4,-4,-4,-4
63,1984,2,-4,-4,-4,-4
64,1980,2,-4,-4,-4,-4
65,1984,-3,2,1,2,2
66,1980,-5,-5,-5,-5,-5
67,1980,4,-4,-4,-4,-4
68,1981,2,-4,-4,-4,-4
69,1981,4,-4,-4,-4,-4
70,1982,2,2,2,2,1
71,1980,2,-4,-4,-4,-4
72,1982,2,-4,-4,-4,-4
73,1984,2,-4,-4,-4,-4
74,1983,4,-4,-4,-4,-4
75,1982,2,-4,-4,-4,-4
76,1982,2,-4,-4,-4,-4
77,1984,2,-4,-4,-4,-4
78,1981,3,-4,-4,-4,-4
79,1983,1,1,1,2,3
80,1981,1,-4,-4,-4,-4
81,1984,0,-4,-4,-4,-4
82,1984,2,1,-2,-2,2
83,1981,1,-4,-4,-4,-4
84,1984,-5,-5,-5,-5,-5
85,1984,2,3,3,2,2
86,1980,2,2,2,1,2
87,1984,2,-4,-4,-4,-4
88,1981,-5,-5,-5,-5,-5
89,1981,4,-4,-4,-4,-4
90,1981,2,-4,-4,-4,-4
91,1982,2,2,2,2,2
92,1983,2,-4,-4,-4,-4
93,1983,2,-4,-4,-4,-4
94,1980,3,-4,-4,-4,-4
95,1982,0,-4,-4,-4,-4
96,1982,-5,-5,-5,-5,-5
97,1980,4,-4,-4,-4,-4
98,1980,-5,-5,-5,-5,-5
99,1982,-5,-5,-5,-5,-5
100,1981,0,1,1,1,1
101,1981,-3,1,1,3,1
102,1982,-5,-5,-5,-5,-5
103,1983,-5,-5,-5,-5,-5
104,1980,4,-4,-4,-4,-4
105,1983,2,-4,-4,-4,-4
106,1981,-5,-5,-5,-5,-5
107,1982,4,2,3,2,1
108,1984,4,-4,-4,-4,-4
109,1982,4,-4,-4,-4,-4
110,1984,4,-4,-4,-4,-4
111,1981,4,1,2,1,1
112,1984,4,-4,-4,-4,-4
113,1984,2,-4,-4,-4,-4
114,1982,2,-4,-4,-4,-4
115,1984,-5,-5,-5,-5,-5
116,1984,2,-4,-4,-4,-4
117,1984,2,-4,-4,-4,-4
118,1980,4,-4,-4,-4,-4
119,1982,-5,-5,-5,-5,-5
120,1982,-5,-5,-5,-5,-5
121,1981,-5,-5,-5,-5,-5
122,1984,2,-4,-4,-4,-4
123,1980,-5,-5,-5,-5,-5
124,1982,-5,-5,-5,-5,-5
125,1984,-5,-5,-5,-5,-5
126,1981,2,-4,-4,-4,-4
127,1982,4,2,1,3,1
128,1982,4,-4,-4,-4,-4
129,1980,-5,-5,-5,-5,-5
130,1981,-5,-5,-5,-5,-5
131,1980,-5,-5,-5,-5,-5
132,1983,4,-4,-4,-4,-4
133,1982,-5,-5,-5,-5,-5
134,1984,-5,-5,-5,-5,-5
135,1981,5,-4,-4,-4,-4
136,1983,4,-4,-4,-4,-4
137,1980,1,-4,-4,-4,-4
138,1984,2,-4,-4,-4,-4
139,1984,-5,-5,-5,-5,-5
140,1983,-5,-5,-5,-5,-5
141,1980,-5,-5,-5,-5,-5
142,1981,-5,-5,-5,-5,-5
143,1981,2,1,1,1,3
144,1982,2,2,2,4,1
145,1984,3,-4,-4,-4,-4
146,1984,2,-4,-4,-4,-4
147,1984,2,3,2,-2,2
148,1982,1,2,3,1,1
149,1983,2,-4,-4,-4,-4
150,1984,2,-4,-4,-4,-4
151,1982,2,-4,-4,-4,-4
152,1982,2,-4,-4,-4,-4
153,1980,2,-4,-4,-4,-4
154,1980,-5,-5,-5,-5,-5
155,1980,4,-4,-4,-4,-4
156,1982,4,-4,-4,-4,-4
157,1982,4,-4,-4,-4,-4
158,1984,4,-4,-4,-4,-4
159,1980,2,2,1,1,1
160,1981,1,1,1,1,1
161,1982,0,1,1,1,1
162,1981,4,1,1,1,1
163,1983,2,-4,-4,-4,-4
164,1981,2,1,1,2,2
165,1980,4,-4,-4,-4,-4
166,1982,4,-4,-4,-4,-4
167,1984,2,-4,-4,-4,-4
168,1981,2,-4,-4,-4,-4
169,1983,1,-4,-4,-4,-4
170,1984,2,-4,-4,-4,-4
171,1984,2,-4,-4,-4,-4
172,1983,-5,-5,-5,-5,-5
173,1980,-5,-5,-5,-5,-5
174,1983,-5,-5,-5,-5,-5
175,1981,4,-4,-4,-4,-4
176,1982,4,-4,-4,-4,-4
177,1980,4,-4,-4,-4,-4
178,1980,4,-4,-4,-4,-4
179,1981,-5,-5,-5,-5,-5
180,1983,4,-4,-4,-4,-4
181,1982,4,-4,-4,-4,-4
182,1984,4,3,2,2,1
183,1980,2,-4,-4,-4,-4
184,1984,2,-4,-4,-4,-4
185,1981,2,1,2,1,1
186,1983,-5,-5,-5,-5,-5
187,1983,4,-4,-4,-4,-4
188,1980,-5,-5,-5,-5,-5
189,1984,-5,-5,-5,-5,-5
190,1983,-5,-5,-5,-5,-5
191,1982,2,1,3,-2,2
192,1982,2,-4,-4,-4,-4
193,1981,2,-4,-4,-4,-4
194,1980,2,-4,-4,-4,-4
195,1983,2,3,4,1,1
196,1984,-5,-5,-5,-5,-5
197,1981,-5,-5,-5,-5,-5
198,1980,2,-4,-4,-4,-4
199,1982,2,-4,-4,-4,-4
200,1980,-5,-5,-5,-5,-5
201,1983,4,4,2,4,3
202,1982,1,-4,-4,-4,-4
203,1984,2,-4,-4,-4,-4
204,1981,2,4,3,3,1
205,1983,-3,2,2,1,2
206,1982,3,-4,-4,-4,-4
207,1981,-5,-5,-5,-5,-5
208,1984,-5,-5,-5,-5,-5
209,1983,-5,-5,-5,-5,-5
210,1984,2,-4,-4,-4,-4
211,1980,4,-4,-4,-4,-4
212,1980,1,-4,-4,-4,-4
213,1982,3,-4,-4,-4,-4
214,1982,2,2,2,1,1
